Case Status,Legislation,Case Reference,Received Date,Received FY,Received FY Month,Received Qtr,Completed Date,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Decision Primary Reason,Submitted About Account,Decision,Decision Detail1,Decision Detail2
Completed,Hybrid,IC-141610-Q3H0,19/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Pensions,Art 32 - Security of processing,Civil Service Pensions,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-133095-Q6G2,04/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 6(1)(c) - Legal obligation,Cornwall Housing Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-138522-V3V1,03/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 6 - Lawfulness of processing,County of Herefordshire District Council,No Further Action,No infringement,No action
Completed,Hybrid,IC-138987-H2Q1,05/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,County of Herefordshire District Council,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-142334-B9J1,23/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Central Government,Government Department,Art 15 - Right of access,Department for Work and Pensions (DWP),Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-155702-B2V8,12/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of services,Unassigned,DHL Express (UK) Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-137684-V6M8,01/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Prt 3 - Ch3 - S45 - Right of Access,Diageo Great Britain Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-152990-Z7T9,27/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Haulage,Art 5(1)(f) - Integrity and confidentiality principle,DPDgroup UK Ltd,No Further Action,No infringement,No action
Case Officer Review Completed,Hybrid,IC-161194-L8W5,15/03/2022,2021/22,12-Mar,Q4,01/04/2022,2022/23,Q1,01-Apr,Local government,County Council,Art 15 - Right of access,Durham County Council,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-148098-J0G9,30/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Utilities,Utility companies,Art 16 - Right to rectification,Dwr Cymru Cyfyngedig (Welsh Water),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-147055-Z7B3,21/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 15(3)(1) - Provide a copy of the personal data,East London NHS Foundation Trust,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-142686-H4S5,25/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 17 - Right to erasure,Easy Buy Ltd,No Further Action,No action,Insufficient information to proceed
Completed,DPA 18,IC-139158-J3Y2,07/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Unassigned,Prt 3 - S45(1)(b) - Access to PD ,Enterprise Rent-a-Car UK Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-155268-P1X0,10/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Haulage,Art 5(1)(f) - Integrity and confidentiality principle,Fedex Express UK Limited,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-127443-N9M1,03/09/2021,2021/22,06-Sep,Q2,01/04/2022,2022/23,Q1,01-Apr,Land or property services,Building and property construction,Art 15(3)(1) - Provide a copy of the personal data,Feilden + Mawson LLP,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-150390-M0T2,15/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Regulators,Ombudsman,Art 15(3)(1) - Provide a copy of the personal data,Financial Ombudsman Service Limited,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-150095-P9S8,12/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 21(1) - Objection to processing,Gallagher Bassett International Ltd,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-150169-P3S1,14/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Search engines,Art 17(1) - Right to erasure,Google UK Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-153779-H5R3,27/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Accommodation providers,Art 6 - Lawfulness of processing,Haulfryn Group Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-143477-G4H3,30/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Education and childcare,Academy and Free Schools,Art 6 - Lawfulness of processing,High Park School,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148063-X7Y5,30/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Debt collection/tracing,Art 17(1)(a) - No longer necessary for purpose,Hoist Finance UK Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-148998-Z5P8,10/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Art 15 - Right of access,HSBC Bank PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-135185-X2T9,14/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,Art 15 - Right of access,Hutchison 3G UK Ltd (Three),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-137852-M4K1,29/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Central Government,Non-departmental public body,Art 15 - Right of access,Independent Office for Police Conduct (IOPC),No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-139931-Z6M1,10/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of services,Art 32 - Security of processing,Independent Vetcare Limited ,No Further Action,No infringement,No action
Completed,Hybrid,IC-152599-Q0C9,27/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Legal,Unassigned,Art 6 - Lawfulness of processing,IRG Advisors LLP t/a Odgers Berndtson,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-144560-Q0T3,07/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 15 - Right of access,John Lewis Partnership Plc,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-153266-Q0S5,31/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Art 15 - Right of access,Lloyds Banking Group PLC,No Further Action,No infringement,Unassigned
Case Officer Review Completed,Hybrid,IC-160668-Y9N2,13/03/2022,2021/22,12-Mar,Q4,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,London Borough Of Harrow,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-154754-G9V5,08/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Passenger transport,Art 15 - Right of access,London North Eastern Railway Limited (LNER),Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-143419-V7F3,30/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Debt collection/tracing,Art 5(1)(d) - Accuracy principle,Lowell Financial Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-143650-V3M4,01/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Education and childcare,Maintained schools,Art 15 - Right of access,Marlborough Primary School,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-154715-R6L1,30/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Central Government,Government Department,Prt 3 - S45(1)(b) - Access to PD ,Ministry of Justice (MoJ),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156986-B7X7,22/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Unassigned,Art 5 - Principles relating to processing of personal data,Mitchells & Butlers Plc,No Further Action,No infringement,No action
Completed,Hybrid,IC-142253-L3Q1,23/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Service providers,Art 15 - Right of access,Mobile Systems International Consultancy Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-138380-Y2J8,02/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Debt collection/tracing,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Moorcroft Debt Recovery Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-142797-W2V8,27/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Passenger transport,Art 15 - Right of access,Network Rail Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-150079-X7K1,13/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Accommodation providers,Art 15(3)(1) - Provide a copy of the personal data,New World Hospitality UK Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-148766-K9Z7,04/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Health,Public health,Art 16 - Right to rectification,NHS England,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-149546-J9T4,10/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Health,Commissioning,Art 15(3)(1) - Provide a copy of the personal data,NHS Surrey Heartlands CCG,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-126137-D7X4,26/08/2021,2021/22,05-Aug,Q2,01/04/2022,2022/23,Q1,01-Apr,General business,Motor Trade,Art 15(3)(1) - Provide a copy of the personal data,Nissan Motor (GB) Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-138821-K6B1,05/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,North Tyneside Metropolitan Borough Council,No Further Action,No infringement,No action
Completed,Hybrid,IC-145310-V2G8,10/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Education and childcare,Further education,Art 15 - Right of access,Northumbria University,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-146686-N8F7,19/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Health,Secondary care,Art 15 - Right of access,Nottinghamshire Healthcare NHS Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-126621-X2T4,30/08/2021,2021/22,05-Aug,Q2,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Pensions,Art 5(1)(f) - Integrity and confidentiality principle,NOW: Pensions Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-146150-M0N1,15/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 5(1)(f) - Integrity and confidentiality principle,Parry and Welch Solicitors LLP,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-153807-X2D1,03/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,General business,Unassigned,Art 15 - Right of access,Paws Holdings Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-128011-H8Z3,07/09/2021,2021/22,06-Sep,Q2,01/04/2022,2022/23,Q1,01-Apr,Education and childcare,Tutor,Art 17 - Right to erasure,Peachy Essay,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-150305-W4C0,14/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Financial services and advice,Art 5(1)(d) - Accuracy principle,PET PLAN LIMITED,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-150950-X1W3,18/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,General business,Recruitment agencies,Art 21(2) - Objection to direct marketing,Pinpoint Partners,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155098-C1D6,10/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 17 - Right to erasure,PlumberParts Ltd,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-150988-Q2N6,18/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 32 - Security of processing,Premier Property Lawyers Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-131301-Q0G6,24/09/2021,2021/22,06-Sep,Q2,01/04/2022,2022/23,Q1,01-Apr,Health,Public health,Art 15 - Right of access,Purple Octopus Management Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-135094-D7L4,14/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Education and childcare,Training Company,Art 32 - Security of processing,QA Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-140049-N4L2,11/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Health,Private Healthcare providers,Art 5(1)(f) - Integrity and confidentiality principle,Rainbow Diagnostics Ltd,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-138355-B1N8,02/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Lenders,Art 15(3)(1) - Provide a copy of the personal data,Ratesetter,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-134990-C9M5,14/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Media,Newspapers,Art 17 - Right to erasure,Reach PLC,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-139763-T4W6,09/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Retail and manufacture,Supplier of goods,Art 32 - Security of processing,Screwfix Direct Limited,Informal action taken,Infringement,DP complaint resolved by org
Case Officer Review Completed,Hybrid,IC-130855-K6T9,22/09/2021,2021/22,06-Sep,Q2,01/04/2022,2022/23,Q1,01-Apr,Central Government,Government Department,Art 9 - Processing of special category data,Secretary of State for Defence (Ministry of Defence),No Further Action,No infringement,No action
Completed,Hybrid,IC-133972-F4N9,08/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Charitable and voluntary,National charities,Art 17 - Right to erasure,Shelter,No Further Action,No infringement,No action
Completed,Hybrid,IC-138927-S3W8,05/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 5(1)(f) - Integrity and confidentiality principle,St Helens Metropolitan Borough Council,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-147432-P4C6,22/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,General business,Supplier of services,Art 5(1)(f) - Integrity and confidentiality principle,Super Marketing Worldwide Limited,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-152660-Y1R1,27/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Art 5(1)(f) - Integrity and confidentiality principle,The Royal Bank Of Scotland PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-143809-Z3K2,01/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Accountancy and Payroll,Art 5(1)(f) - Integrity and confidentiality principle,Thompson Taraz LLP,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Review Completed,Hybrid,IC-136314-Z5Z0,21/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,Legal,Legal professionals,Art 32 - Security of processing,Thorntons Law LLP,No Further Action,No infringement,No action
Completed,Hybrid,IC-149864-N9C1,14/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Social media,Art 17(1) - Right to erasure,TikTok Information Technologies UK Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-147842-F1J3,25/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,Transport and leisure,Holiday providers and services,Art 5(1)(f) - Integrity and confidentiality principle,Travel Limited T/A AlHaram Travel,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-143431-Q7T9,30/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,Membership association,Clubs,Art 15 - Right of access,Triumph Owners Motorcycle Club ,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-147014-M0K1,20/12/2021,2021/22,09-Dec,Q3,01/04/2022,2022/23,Q1,01-Apr,General business,Unassigned,Art 18(1) - Right to restriction,Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155208-B2F2,10/02/2022,2021/22,11-Feb,Q4,01/04/2022,2022/23,Q1,01-Apr,General business,Unassigned,Art 6(1)(a) - Consent,Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-143877-G5F0,14/10/2021,2021/22,07-Oct,Q3,01/04/2022,2022/23,Q1,01-Apr,General business,Unassigned,Art 5 - Principles relating to processing of personal data,Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-142837-L5T7,29/11/2021,2021/22,08-Nov,Q3,01/04/2022,2022/23,Q1,01-Apr,"Finance, insurance and credit",Banks and Building Societies,Unassigned,Vanquis Bank Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-149509-Q0W1,10/01/2022,2021/22,10-Jan,Q4,01/04/2022,2022/23,Q1,01-Apr,Online Technology and Telecoms,Social media,Art 17(1)(b) - Consent withdrawn,WhatsApp Ireland Limited,Informal action taken,Potential infringement,Unassigned
